gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1994020001,/api/v1/game/1994020001/feed/live,R,19941995,1995-01-21T00:30:00Z,2,1,0,0,7,Buffalo Sabres,/api/v1/teams/7,1,0,1,0,3,New York Rangers,/api/v1/teams/3
1994020002,/api/v1/game/1994020002/feed/live,R,19941995,1995-01-21T00:30:00Z,5,1,0,0,5,Pittsburgh Penguins,/api/v1/teams/5,3,0,1,0,14,Tampa Bay Lightning,/api/v1/teams/14
1994020003,/api/v1/game/1994020003/feed/live,R,19941995,1995-01-21T00:30:00Z,1,0,1,0,16,Chicago Blackhawks,/api/v1/teams/16,4,1,0,0,17,Detroit Red Wings,/api/v1/teams/17
1994020004,/api/v1/game/1994020004/feed/live,R,19941995,1995-01-21T01:30:00Z,3,0,0,1,20,Calgary Flames,/api/v1/teams/20,3,0,0,1,33,Winnipeg Jets (1979),/api/v1/teams/33
1994020005,/api/v1/game/1994020005/feed/live,R,19941995,1995-01-21T02:30:00Z,1,0,1,0,24,Anaheim Ducks,/api/v1/teams/24,2,1,0,0,22,Edmonton Oilers,/api/v1/teams/22
1994020006,/api/v1/game/1994020006/feed/live,R,19941995,1995-01-21T03:30:00Z,1,0,0,1,25,Dallas Stars,/api/v1/teams/25,1,0,0,1,23,Vancouver Canucks,/api/v1/teams/23
1994020007,/api/v1/game/1994020007/feed/live,R,19941995,1995-01-21T03:30:00Z,5,1,0,0,19,St. Louis Blues,/api/v1/teams/19,2,0,1,0,28,San Jose Sharks,/api/v1/teams/28
1994020008,/api/v1/game/1994020008/feed/live,R,19941995,1995-01-21T03:30:00Z,3,0,0,1,10,Toronto Maple Leafs,/api/v1/teams/10,3,0,0,1,26,Los Angeles Kings,/api/v1/teams/26
1994020012,/api/v1/game/1994020012/feed/live,R,19941995,1995-01-21T18:00:00Z,3,1,0,0,32,Quebec Nordiques,/api/v1/teams/32,1,0,1,0,4,Philadelphia Flyers,/api/v1/teams/4
1994020009,/api/v1/game/1994020009/feed/live,R,19941995,1995-01-22T00:00:00Z,1,0,0,1,15,Washington Capitals,/api/v1/teams/15,1,0,0,1,34,Hartford Whalers,/api/v1/teams/34
1994020010,/api/v1/game/1994020010/feed/live,R,19941995,1995-01-22T00:00:00Z,1,0,1,0,13,Florida Panthers,/api/v1/teams/13,2,1,0,0,2,New York Islanders,/api/v1/teams/2
1994020013,/api/v1/game/1994020013/feed/live,R,19941995,1995-01-22T00:30:00Z,4,1,1,0,24,Anaheim Ducks,/api/v1/teams/24,3,0,1,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1994020011,/api/v1/game/1994020011/feed/live,R,19941995,1995-01-22T00:30:00Z,2,0,1,0,8,Montréal Canadiens,/api/v1/teams/8,5,1,1,0,3,New York Rangers,/api/v1/teams/3
1994020014,/api/v1/game/1994020014/feed/live,R,19941995,1995-01-22T03:30:00Z,7,2,0,0,19,St. Louis Blues,/api/v1/teams/19,1,0,1,0,23,Vancouver Canucks,/api/v1/teams/23
